 species:	beech
 species_id:	5
 site:	Karlsruhe
 pt_density:	12
 date_flight:	2011
 param5:	xx
 param6:	xx
 param7:	xx
 param8:	xx
 param9:	xx
 param10:	xx
 param11:	xx
 param12:	xx
 param13:	xx
 param14:	xx
 param15:	xx
 param16:	xx
 param17:	xx
 param18:	xx
 param19:	xx
 param20:	xx
 
 x y z
 3457102.96 5433717.15 18.25
 3457103.01 5433717.11 16.44
 3457102.35 5433717.16 16.69
 3457103.51 5433717.28 19.00
 3457103.27 5433717.24 16.40
 3457102.91 5433717.28 17.44
 3457102.95 5433717.26 16.39
 3457102.55 5433717.33 18.66
 3457102.80 5433717.12 18.27
 3457103.49 5433717.36 18.99
 3457102.88 5433717.37 17.46
 3457104.64 5433718.00 19.43
 3457104.73 5433717.94 16.90
 3457104.28 5433718.05 20.56
 3457104.35 5433718.00 18.57
 3457104.04 5433718.01 18.17
 3457104.67 5433717.59 0.04
 3457103.71 5433718.03 18.34
 3457103.39 5433718.05 18.31
 3457104.00 5433717.62 0.01
 3457103.05 5433718.08 18.49
 3457102.71 5433718.11 19.03
 3457102.75 5433718.08 17.90
 3457102.40 5433718.12 18.57
 3457105.05 5433718.42 18.85
 3457104.67 5433718.47 20.25
 3457104.74 5433718.43 18.51
 3457104.34 5433718.50 20.53
 3457104.09 5433718.47 18.41
 3457103.77 5433718.48 18.18
 3457104.39 5433718.06 -0.01
 3457103.46 5433718.49 17.55
 3457103.50 5433718.46 16.36
 3457104.06 5433718.08 -0.00
 3457103.11 5433718.53 18.48
 3457102.79 5433718.54 18.26
 3457102.46 5433718.56 18.28
 3457105.38 5433718.85 19.13
 3457105.46 5433718.81 17.16
 3457105.05 5433718.88 19.34
 3457104.73 5433718.89 19.21
 3457104.76 5433718.87 18.38
 3457104.43 5433718.90 18.55
 3457104.11 5433718.91 18.32
 3457103.78 5433718.93 18.50
 3457103.46 5433718.95 18.34
 3457103.13 5433718.97 18.53
 3457103.16 5433718.95 17.61
 3457102.82 5433718.98 18.04
 3457102.50 5433719.00 18.01
 3457102.17 5433719.02 18.09
 3457105.25 5433719.41 18.63
 3457105.29 5433719.38 17.58
 3457104.90 5433719.43 19.06
 3457104.57 5433719.46 19.41
 3457103.94 5433719.49 18.94
 3457103.29 5433719.52 18.62
 3457103.34 5433719.49 17.26
 3457102.96 5433719.55 18.91
 3457102.63 5433719.57 19.01
 3457102.30 5433719.59 19.33
 3457102.33 5433719.57 18.52
 3457102.00 5433719.59 18.45
 3457105.24 5433719.66 18.82
 3457104.89 5433719.70 19.59
 3457104.92 5433719.68 18.84
 3457104.98 5433719.64 17.15
 3457104.57 5433719.71 19.48
 3457104.23 5433719.74 19.82
 3457103.94 5433719.74 18.94
 3457103.61 5433719.76 18.96
 3457103.34 5433719.74 17.51
 3457102.97 5433719.79 18.83
 3457102.67 5433719.79 18.09
 3457102.33 5433719.82 18.37
 3457102.01 5433719.84 18.31
 3457102.57 5433719.43 0.06
 3457104.97 5433719.66 19.65
 3457105.00 5433719.64 18.80
 3457104.65 5433719.68 19.49
 3457104.31 5433719.70 19.89
 3457103.99 5433719.72 19.79
 3457104.06 5433719.67 17.53
 3457104.11 5433719.63 16.15
 3457103.69 5433719.72 18.99
 3457103.36 5433719.74 19.01
 3457103.42 5433719.70 17.49
 3457103.04 5433719.75 18.85
 3457102.72 5433719.77 18.78
 3457102.75 5433719.75 18.03
 3457102.38 5433719.80 19.29
 3457102.08 5433719.80 18.44
 3457102.13 5433719.76 16.85
 3457105.24 5433720.01 17.17
 3457104.84 5433720.08 19.28
 3457104.92 5433720.03 17.08
 3457104.50 5433720.10 19.46
 3457104.18 5433720.12 19.42
 3457103.84 5433720.14 19.79
 3457103.54 5433720.15 19.11
 3457103.57 5433720.13 18.21
 3457103.25 5433720.14 18.19
 3457102.24 5433720.22 19.09
 3457105.07 5433720.56 18.90
 3457104.72 5433720.60 19.65
 3457104.78 5433720.56 17.92
 3457104.44 5433720.58 18.27
 3457104.11 5433720.61 18.42
 3457104.16 5433720.57 17.05
 3457103.79 5433720.62 18.43
 3457103.49 5433720.62 17.63
 3457105.12 5433721.06 19.32
 3457104.79 5433721.08 19.33
 3457104.52 5433721.06 17.85
 3457104.19 5433721.08 18.06
 3457103.88 5433721.09 17.56
 3457104.50 5433721.48 16.29
 3457104.54 5433721.47 16.32
 3457103.72 5433720.95 17.74
 3457104.06 5433720.99 18.06
 3457104.40 5433721.01 18.12
 3457101.99 5433720.50 19.26
 3457103.39 5433720.42 17.99
 3457103.73 5433720.40 17.68
 3457103.74 5433720.33 17.03
 3457104.07 5433720.47 18.29
 3457104.11 5433720.26 16.21
 3457104.39 5433720.62 19.67
 3457104.44 5433720.35 16.98
 3457104.77 5433720.45 17.83
 3457101.78 5433719.67 16.77
 3457101.99 5433718.01 0.03
 3457102.11 5433719.80 18.04
 3457102.78 5433719.93 19.07
 3457103.14 5433719.88 18.43
 3457103.47 5433719.95 19.01
 3457103.82 5433719.94 18.86
 3457104.15 5433719.99 19.33
 3457104.50 5433719.98 19.09
 3457104.85 5433719.97 18.83
 3457104.88 5433719.80 17.11
 3457101.81 5433719.47 18.32
 3457101.83 5433719.32 16.79
 3457102.15 5433719.47 18.15
 3457102.49 5433719.54 18.72
 3457102.83 5433719.56 18.85
 3457103.18 5433719.55 18.61
 3457103.86 5433719.57 18.65
 3457104.54 5433719.68 19.51
 3457104.88 5433719.71 19.70
 3457104.90 5433719.61 18.71
 3457102.10 5433718.79 18.41
 3457102.11 5433718.71 17.59
 3457102.45 5433718.79 18.21
 3457102.80 5433718.74 17.57
 3457103.14 5433718.74 17.52
 3457103.47 5433718.85 18.52
 3457103.82 5433718.85 18.45
 3457104.15 5433718.94 19.25
 3457104.17 5433718.85 18.35
 3457104.51 5433718.89 18.63
 3457104.84 5433718.97 19.37
 3457101.58 5433717.96 16.23
 3457102.23 5433718.23 18.63
 3457102.57 5433718.28 19.03
 3457102.59 5433718.16 17.86
 3457102.93 5433718.22 18.33
 3457103.27 5433718.23 18.26
 3457103.61 5433718.25 18.37
 3457103.94 5433718.36 19.41
 3457103.97 5433718.20 17.83
 3457104.30 5433718.28 18.52
 3457104.61 5433718.46 20.21
 3457104.97 5433718.41 19.57
 3457102.55 5433717.66 18.66
 3457102.90 5433717.67 18.66
 3457103.24 5433717.72 19.04
 3457103.58 5433717.71 18.84
 3457103.93 5433717.72 18.82
 3457104.26 5433717.78 19.31
 3457104.31 5433717.49 16.39
 3457104.63 5433717.65 17.88
 3457102.26 5433716.93 16.71
 3457102.60 5433717.03 17.57
 3457103.28 5433717.11 18.06
 3457104.30 5433717.21 18.79
