 species:	beech
 species_id:	5
 site:	Karlsruhe
 pt_density:	12
 date_flight:	2011
 param5:	xx
 param6:	xx
 param7:	xx
 param8:	xx
 param9:	xx
 param10:	xx
 param11:	xx
 param12:	xx
 param13:	xx
 param14:	xx
 param15:	xx
 param16:	xx
 param17:	xx
 param18:	xx
 param19:	xx
 param20:	xx
 
 x y z
 3456931.00 5434298.31 23.32
 3456930.66 5434298.32 23.33
 3456930.34 5434298.32 23.29
 3456931.03 5434298.70 23.41
 3456930.68 5434298.70 23.46
 3456930.37 5434298.71 23.34
 3456931.48 5434299.50 0.04
 3456931.13 5434299.50 0.04
 3456932.26 5434299.00 21.99
 3456931.21 5434298.96 23.72
 3456932.48 5434299.14 17.83
 3456930.87 5434298.96 23.77
 3456930.52 5434298.97 23.80
 3456930.26 5434298.98 23.46
 3456929.81 5434299.02 22.39
 3456931.74 5434299.76 0.08
 3456931.39 5434299.76 0.03
 3456931.04 5434299.77 0.05
 3456930.69 5434299.77 0.06
 3456931.96 5434299.02 23.10
 3456932.20 5434299.05 21.98
 3456932.41 5434299.19 17.86
 3456930.80 5434299.01 23.78
 3456930.47 5434299.01 23.75
 3456930.20 5434299.03 23.41
 3456929.92 5434299.04 23.14
 3456929.75 5434299.07 22.38
 3456931.53 5434299.65 4.14
 3456931.68 5434299.79 0.03
 3456931.33 5434299.79 0.03
 3456930.97 5434299.80 0.04
 3456930.62 5434299.80 0.03
 3456932.49 5434299.11 17.73
 3456930.85 5434298.94 23.75
 3456930.50 5434298.94 23.84
 3456930.28 5434298.96 23.28
 3456931.71 5434299.69 0.10
 3456931.37 5434299.69 0.04
 3456931.03 5434299.70 -0.00
 3456930.66 5434299.70 0.05
 3456932.20 5434299.43 22.72
 3456932.51 5434299.58 18.13
 3456930.99 5434299.42 23.62
 3456930.70 5434299.43 23.41
 3456931.89 5434299.59 17.86
 3456930.26 5434299.42 23.87
 3456930.07 5434299.44 23.20
 3456929.65 5434299.44 23.59
 3456929.26 5434299.43 23.83
 3456929.89 5434299.57 19.25
 3456929.32 5434299.55 20.38
 3456928.96 5434299.55 20.49
 3456931.68 5434300.04 4.16
 3456931.37 5434300.05 3.97
 3456932.18 5434300.17 0.07
 3456931.83 5434300.17 0.07
 3456930.77 5434300.08 3.51
 3456931.48 5434300.18 0.06
 3456930.42 5434300.08 3.53
 3456931.13 5434300.18 0.06
 3456930.08 5434300.09 3.49
 3456930.78 5434300.19 0.03
 3456930.44 5434300.19 -0.00
 3456930.09 5434300.20 0.02
 3456933.52 5434300.04 23.43
 3456933.23 5434300.05 23.23
 3456932.67 5434300.08 22.69
 3456932.13 5434300.05 23.62
 3456932.29 5434300.07 22.89
 3456931.81 5434300.06 23.53
 3456932.97 5434300.22 18.18
 3456931.41 5434300.05 23.82
 3456931.00 5434300.05 24.17
 3456930.74 5434300.06 23.79
 3456931.03 5434300.10 22.46
 3456930.33 5434300.06 24.14
 3456930.64 5434300.10 22.70
 3456929.99 5434300.06 24.16
 3456930.14 5434300.08 23.44
 3456929.41 5434300.03 25.36
 3456929.63 5434300.06 24.32
 3456929.03 5434300.03 25.56
 3456929.32 5434300.07 24.19
 3456929.61 5434300.11 22.81
 3456929.09 5434300.09 23.71
 3456928.80 5434300.10 23.49
 3456929.27 5434300.17 21.26
 3456929.04 5434300.19 20.76
 3456928.56 5434300.17 21.43
 3456928.39 5434300.20 20.65
 3456927.87 5434300.18 21.49
 3456927.57 5434300.19 21.34
 3456931.13 5434300.71 4.12
 3456930.91 5434300.73 3.46
 3456931.62 5434300.84 0.03
 3456930.60 5434300.74 3.29
 3456931.26 5434300.84 0.06
 3456930.25 5434300.75 3.32
 3456929.88 5434300.75 3.43
 3456929.52 5434300.75 3.51
 3456929.37 5434300.78 2.56
 3456929.87 5434300.86 0.06
 3456933.04 5434300.42 23.11
 3456932.22 5434300.40 23.77
 3456933.23 5434300.59 17.59
 3456931.57 5434300.42 23.65
 3456931.92 5434300.46 22.04
 3456931.28 5434300.43 23.43
 3456930.91 5434300.42 23.61
 3456930.77 5434300.46 22.68
 3456930.18 5434300.43 23.87
 3456930.56 5434300.48 22.10
 3456929.46 5434300.37 25.71
 3456930.25 5434300.49 21.94
 3456929.11 5434300.38 25.81
 3456929.91 5434300.49 21.99
 3456929.16 5434300.44 23.98
 3456930.05 5434300.56 19.71
 3456929.37 5434300.52 21.39
 3456929.71 5434300.57 19.75
 3456928.99 5434300.52 21.59
 3456928.67 5434300.52 21.49
 3456928.32 5434300.52 21.57
 3456931.91 5434301.04 4.33
 3456927.47 5434300.45 24.06
 3456928.36 5434300.58 19.79
 3456931.66 5434301.06 3.85
 3456927.69 5434300.54 21.36
 3456930.94 5434301.07 3.93
 3456927.15 5434300.57 20.71
 3456926.85 5434300.58 20.55
 3456930.04 5434301.10 3.26
 3456930.68 5434301.20 0.12
 3456929.55 5434301.09 3.98
 3456929.84 5434301.13 2.55
 3456930.34 5434301.20 0.08
 3456929.16 5434301.08 4.20
 3456929.49 5434301.13 2.55
 3456929.13 5434301.13 2.66
 3456928.75 5434301.13 2.78
 3456933.32 5434300.79 23.04
 3456933.39 5434300.85 21.21
 3456932.50 5434300.78 23.73
 3456932.12 5434300.78 23.87
 3456931.80 5434300.78 23.84
 3456932.23 5434300.84 21.83
 3456931.38 5434300.77 24.20
 3456930.98 5434300.77 24.51
 3456930.68 5434300.78 24.32
 3456930.23 5434300.77 24.85
 3456929.84 5434300.76 25.16
 3456930.03 5434300.79 24.27
 3456929.45 5434300.76 25.44
 3456930.21 5434300.87 21.83
 3456929.06 5434300.76 25.66
 3456929.67 5434300.84 22.77
 3456929.64 5434300.89 21.35
 3456929.96 5434300.94 19.80
 3456929.32 5434300.90 21.31
 3456929.55 5434300.93 20.20
 3456928.92 5434300.89 21.59
 3456929.20 5434300.93 20.28
 3456928.63 5434300.90 21.38
 3456928.83 5434300.93 20.40
 3456928.37 5434300.92 21.00
 3456927.43 5434300.83 23.87
 3456927.89 5434300.90 21.67
 3456927.07 5434300.83 24.01
 3456927.74 5434300.93 20.79
 3456931.31 5434301.45 3.49
 3456926.76 5434300.84 23.91
 3456927.45 5434300.94 20.54
 3456927.06 5434300.94 20.81
 3456926.79 5434300.95 20.50
 3456930.27 5434301.47 3.46
 3456926.42 5434300.95 20.65
 3456929.87 5434301.46 3.75
 3456929.46 5434301.46 4.09
 3456929.69 5434301.49 2.92
 3456929.36 5434301.50 2.86
 3456929.92 5434301.58 0.05
 3456929.01 5434301.50 2.88
 3456928.68 5434301.51 2.77
 3456928.53 5434301.60 0.02
 3456928.18 5434301.60 0.03
 3456933.00 5434301.27 23.29
 3456933.36 5434301.32 21.65
 3456932.68 5434301.28 23.23
 3456933.07 5434301.33 21.43
 3456932.27 5434301.27 23.53
 3456932.71 5434301.33 21.53
 3456931.73 5434301.25 24.48
 3456932.40 5434301.34 21.42
 3456931.27 5434301.23 25.02
 3456930.87 5434301.23 25.36
 3456930.80 5434301.27 24.13
 3456931.65 5434301.39 20.16
 3456930.58 5434301.29 23.59
 3456931.08 5434301.36 21.22
 3456929.90 5434301.25 25.21
 3456929.66 5434301.26 24.81
 3456929.49 5434301.29 24.04
 3456929.88 5434301.35 22.16
 3456929.12 5434301.29 24.19
 3456929.55 5434301.35 22.15
 3456929.91 5434301.40 20.44
 3456928.70 5434301.28 24.63
 3456928.39 5434301.29 24.50
 3456929.30 5434301.42 20.17
 3456928.39 5434301.34 22.87
 3456928.65 5434301.43 20.02
 3456928.33 5434301.44 19.94
 3456931.05 5434301.83 6.77
 3456927.98 5434301.44 19.99
