 species:	beech
 species_id:	5
 site:	Karlsruhe
 pt_density:	12
 date_flight:	2011
 param5:	xx
 param6:	xx
 param7:	xx
 param8:	xx
 param9:	xx
 param10:	xx
 param11:	xx
 param12:	xx
 param13:	xx
 param14:	xx
 param15:	xx
 param16:	xx
 param17:	xx
 param18:	xx
 param19:	xx
 param20:	xx
 
 x y z
 3456752.97 5434109.10 13.65
 3456753.32 5434109.09 13.65
 3456754.00 5434109.05 15.79
 3456754.34 5434109.05 15.81
 3456751.46 5434108.33 11.77
 3456751.74 5434108.32 12.02
 3456752.11 5434108.29 14.06
 3456752.36 5434108.28 14.40
 3456752.77 5434108.27 14.25
 3456753.05 5434108.26 14.44
 3456753.13 5434108.25 15.26
 3456753.45 5434108.25 15.37
 3456753.83 5434108.24 15.28
 3456754.46 5434108.22 15.51
 3456754.89 5434108.21 15.28
 3456751.66 5434107.97 11.88
 3456751.92 5434107.96 12.19
 3456752.23 5434107.95 12.32
 3456752.69 5434107.94 12.06
 3456752.14 5434107.93 14.67
 3456752.54 5434107.93 13.52
 3456753.09 5434107.93 11.93
 3456752.55 5434107.92 14.52
 3456752.79 5434107.92 13.84
 3456752.87 5434107.91 14.63
 3456753.04 5434107.90 15.16
 3456753.35 5434107.89 15.31
 3456753.75 5434107.88 15.17
 3456754.09 5434107.88 15.21
 3456754.37 5434107.87 15.42
 3456754.79 5434107.86 15.22
 3456755.16 5434107.85 15.18
 3456751.70 5434107.70 11.94
 3456752.12 5434107.70 10.73
 3456751.90 5434107.69 12.43
 3456752.05 5434107.68 13.02
 3456752.34 5434107.67 13.23
 3456752.24 5434107.66 14.54
 3456753.48 5434107.67 10.95
 3456752.62 5434107.65 14.50
 3456752.86 5434107.65 13.82
 3456753.01 5434107.64 14.40
 3456753.00 5434107.63 15.48
 3456753.59 5434107.62 14.79
 3456753.83 5434107.62 15.10
 3456754.18 5434107.61 15.11
 3456754.81 5434107.60 14.31
 3456752.79 5434107.04 0.06
 3456753.15 5434107.03 0.06
 3456753.52 5434107.02 0.04
 3456753.85 5434107.01 0.17
 3456754.20 5434107.00 0.17
 3456754.56 5434106.99 0.17
 3456751.40 5434106.96 10.55
 3456751.52 5434106.95 11.25
 3456751.48 5434106.94 12.42
 3456751.74 5434106.93 12.73
 3456751.97 5434106.92 13.10
 3456752.25 5434106.91 13.32
 3456752.62 5434106.91 12.28
 3456752.53 5434106.90 13.55
 3456752.62 5434106.89 14.36
 3456753.01 5434106.88 14.25
 3456753.29 5434106.87 14.48
 3456753.67 5434106.86 14.38
 3456753.98 5434106.85 14.51
 3456754.34 5434106.84 14.50
 3456754.65 5434106.83 14.63
 3456752.72 5434105.89 0.04
 3456753.08 5434105.88 0.05
 3456753.46 5434105.88 0.03
 3456753.81 5434105.87 0.07
 3456754.18 5434105.86 0.08
 3456754.51 5434105.85 0.16
 3456751.28 5434105.83 10.69
 3456754.90 5434105.84 0.07
 3456751.08 5434105.82 12.33
 3456755.27 5434105.83 0.08
 3456751.42 5434105.81 12.40
 3456751.75 5434105.81 11.43
 3456751.62 5434105.80 12.86
 3456751.98 5434105.79 12.86
 3456752.32 5434105.79 11.87
 3456752.49 5434105.77 13.48
 3456752.72 5434105.76 13.83
 3456753.39 5434105.75 13.95
 3456753.97 5434105.73 14.34
 3456754.96 5434105.71 13.55
 3456755.15 5434105.70 14.04
 3456751.58 5434105.21 12.32
 3456751.87 5434105.20 12.54
 3456752.26 5434105.19 12.44
 3456752.56 5434105.18 12.63
 3456752.82 5434105.17 12.91
 3456752.87 5434104.60 12.62
 3456753.09 5434104.59 13.01
 3456755.86 5434107.84 14.24
 3456756.33 5434107.84 13.90
 3456755.68 5434107.57 14.91
 3456756.30 5434105.67 13.85
 3456756.69 5434105.67 13.79
 3456755.72 5434105.09 13.90
 3456756.14 5434105.08 13.74
 3456755.58 5434105.45 13.74
 3456755.27 5434105.45 13.82
 3456753.72 5434105.47 14.22
 3456752.93 5434105.49 13.16
 3456752.22 5434105.49 14.89
 3456751.60 5434105.50 12.87
 3456756.53 5434105.97 13.55
 3456754.07 5434105.99 14.31
 3456753.93 5434106.00 13.37
 3456753.06 5434106.01 14.01
 3456752.33 5434106.02 13.43
 3456751.50 5434106.04 12.20
 3456754.91 5434106.89 0.13
 3456755.77 5434106.79 13.24
 3456753.92 5434106.91 0.18
 3456753.56 5434106.91 -0.01
 3456754.66 5434106.80 14.49
 3456753.36 5434106.82 14.37
 3456753.00 5434106.83 14.15
 3456752.36 5434106.83 14.15
 3456752.23 5434106.84 13.27
 3456751.83 5434106.85 12.74
 3456751.46 5434106.86 12.38
 3456755.96 5434107.68 14.13
 3456755.01 5434107.69 14.22
 3456754.83 5434107.69 15.18
 3456753.54 5434107.74 10.77
 3456753.85 5434107.70 15.06
