 species:	pine
 species_id:	3
 site:	Karlsruhe
 pt_density:	12
 date_flight:	2011
 param5:	xx
 param6:	xx
 param7:	xx
 param8:	xx
 param9:	xx
 param10:	xx
 param11:	xx
 param12:	xx
 param13:	xx
 param14:	xx
 param15:	xx
 param16:	xx
 param17:	xx
 param18:	xx
 param19:	xx
 param20:	xx
 
 x y z
 3456606.56 5435072.14 23.06
 3456606.86 5435072.10 23.55
 3456607.49 5435072.09 22.44
 3456607.80 5435072.07 22.50
 3456608.11 5435072.05 22.47
 3456606.69 5435071.55 23.34
 3456607.00 5435071.53 23.32
 3456607.29 5435071.47 24.33
 3456607.59 5435071.45 24.30
 3456607.61 5435071.49 23.26
 3456607.92 5435071.48 22.71
 3456606.35 5435071.00 21.59
 3456606.64 5435070.93 23.25
 3456606.66 5435070.98 21.55
 3456606.93 5435070.88 24.10
 3456606.94 5435070.90 23.30
 3456607.24 5435070.86 24.02
 3456607.54 5435070.84 24.08
 3456607.87 5435070.85 23.08
 3456608.19 5435070.86 22.03
 3456608.21 5435070.89 20.88
 3456608.47 5435070.78 23.75
 3456608.81 5435070.82 21.82
 3456605.71 5435070.21 22.03
 3456606.00 5435070.13 23.94
 3456606.32 5435070.15 22.58
 3456606.60 5435070.06 24.72
 3456606.90 5435070.05 24.68
 3456607.20 5435070.01 25.05
 3456607.50 5435069.99 25.18
 3456607.81 5435069.98 24.89
 3456608.12 5435069.95 24.92
 3456608.42 5435069.93 25.12
 3456608.77 5435069.98 22.55
 3456609.08 5435069.96 22.48
 3456609.38 5435069.94 22.47
 3456606.20 5435070.25 0.11
 3456606.22 5435069.52 24.17
 3456606.53 5435069.50 24.12
 3456606.59 5435069.63 19.75
 3456606.84 5435069.48 24.15
 3456607.13 5435069.44 24.68
 3456607.43 5435069.41 25.08
 3456607.73 5435069.38 25.41
 3456608.03 5435069.34 25.91
 3456608.38 5435069.41 22.97
 3456609.00 5435069.38 22.47
 3456609.31 5435069.36 22.35
 3456609.61 5435069.33 22.53
 3456609.92 5435069.31 22.57
 3456606.16 5435070.20 0.18
 3456606.19 5435069.49 22.98
 3456606.24 5435069.59 19.59
 3456606.48 5435070.18 0.12
 3456606.49 5435069.43 24.19
 3456606.55 5435069.57 19.66
 3456606.79 5435069.41 24.25
 3456607.09 5435069.38 24.73
 3456607.39 5435069.34 25.14
 3456607.69 5435069.32 25.29
 3456607.99 5435069.28 25.77
 3456609.27 5435069.30 22.32
 3456609.57 5435069.27 22.50
 3456610.18 5435069.23 22.57
 3456605.75 5435069.85 0.07
 3456606.07 5435069.83 0.08
 3456606.11 5435069.11 23.03
 3456606.39 5435069.81 0.10
 3456606.39 5435069.05 24.30
 3456606.41 5435069.09 23.01
 3456606.70 5435069.03 24.27
 3456607.00 5435069.00 24.53
 3456607.31 5435068.98 24.52
 3456607.60 5435068.93 25.47
 3456607.61 5435068.96 24.52
 3456607.92 5435068.94 24.61
 3456608.23 5435068.93 23.98
 3456608.56 5435068.95 22.88
 3456605.95 5435068.33 22.99
 3456606.25 5435068.31 23.17
 3456606.56 5435068.29 22.91
 3456607.17 5435068.23 23.62
 3456607.47 5435068.21 23.67
 3456607.78 5435068.19 23.53
 3456608.40 5435068.17 22.84
 3456608.71 5435068.15 22.73
 3456606.24 5435067.80 23.00
 3456606.86 5435068.46 0.14
 3456607.76 5435067.68 23.61
 3456607.70 5435072.60 22.26
 3456608.04 5435067.90 23.56
 3456606.43 5435067.84 23.06
 3456608.84 5435068.54 22.82
 3456608.50 5435068.53 22.89
 3456608.27 5435068.52 23.28
 3456607.99 5435068.51 23.52
 3456607.67 5435068.50 23.65
 3456606.93 5435068.49 24.59
 3456606.43 5435068.46 23.17
 3456606.04 5435068.44 23.07
 3456606.85 5435068.55 0.10
 3456608.81 5435068.85 22.80
 3456608.48 5435068.84 22.91
 3456608.47 5435068.86 23.91
 3456608.36 5435068.86 24.62
 3456608.05 5435068.85 24.75
 3456607.61 5435068.83 24.53
 3456607.17 5435068.82 24.34
 3456606.76 5435068.80 24.20
