 species:	pine
 species_id:	3
 site:	Karlsruhe
 pt_density:	12
 date_flight:	2011
 param5:	xx
 param6:	xx
 param7:	xx
 param8:	xx
 param9:	xx
 param10:	xx
 param11:	xx
 param12:	xx
 param13:	xx
 param14:	xx
 param15:	xx
 param16:	xx
 param17:	xx
 param18:	xx
 param19:	xx
 param20:	xx
 
 x y z
 3457170.31 5434879.26 8.71
 3457171.04 5434879.73 8.73
 3457171.07 5434879.74 9.94
 3457171.30 5434879.63 8.45
 3457171.63 5434880.08 8.57
 3457171.08 5434880.20 9.90
 3457170.98 5434880.12 8.42
 3457170.58 5434880.18 8.79
 3457169.92 5434880.35 10.81
 3457169.95 5434880.21 8.42
 3457169.55 5434880.27 8.85
 3457169.04 5434880.37 9.94
 3457171.58 5434881.20 13.67
 3457171.80 5434881.11 12.33
 3457171.25 5434881.23 13.65
 3457171.03 5434881.20 12.90
 3457170.59 5434881.27 13.52
 3457170.47 5434881.08 9.99
 3457170.66 5434881.00 8.80
 3457170.07 5434881.13 10.37
 3457169.69 5434881.18 10.64
 3457169.67 5434881.07 8.61
 3457168.64 5434881.15 8.70
 3457168.31 5434881.18 8.61
 3457172.35 5434881.52 11.89
 3457172.02 5434881.54 11.85
 3457171.33 5434881.72 14.08
 3457170.78 5434881.72 13.25
 3457170.74 5434881.62 11.40
 3457170.51 5434881.60 10.69
 3457169.97 5434881.71 11.96
 3457169.62 5434881.75 12.09
 3457169.87 5434881.64 10.47
 3457169.50 5434881.68 10.67
 3457169.31 5434881.64 9.69
 3457170.44 5434881.00 0.16
 3457170.11 5434881.01 0.01
 3457172.40 5434882.20 12.90
 3457172.10 5434882.21 12.68
 3457172.39 5434882.08 10.88
 3457171.78 5434882.23 12.59
 3457172.00 5434882.13 11.20
 3457171.48 5434882.24 12.34
 3457171.22 5434882.23 11.82
 3457170.79 5434882.30 12.39
 3457171.02 5434882.20 10.99
 3457170.57 5434882.28 11.67
 3457170.39 5434882.23 10.66
 3457170.26 5434882.17 9.31
 3457170.22 5434882.06 7.40
 3457169.55 5434882.23 9.50
 3457169.26 5434882.24 9.22
 3457170.66 5434881.61 0.09
 3457168.95 5434882.26 9.04
 3457169.94 5434881.68 0.28
 3457172.18 5434883.06 11.39
 3457171.95 5434883.04 10.71
 3457171.92 5434882.93 8.82
 3457171.10 5434883.17 11.85
 3457171.06 5434883.07 9.93
 3457170.44 5434883.09 9.54
 3457170.12 5434883.11 9.42
 3457169.99 5434883.05 8.08
 3457171.20 5434882.52 0.31
 3457170.88 5434882.53 0.14
 3457169.46 5434883.04 7.14
 3457170.54 5434882.56 0.07
 3457170.19 5434882.59 0.11
 3457169.85 5434882.61 0.08
 3457169.48 5434882.65 0.27
 3457171.17 5434882.97 0.08
 3457170.82 5434883.00 0.10
 3457170.45 5434883.04 0.22
 3457170.11 5434883.07 0.20
 3457169.76 5434883.10 0.22
 3457169.37 5434883.14 0.50
 3457171.25 5434883.10 0.19
 3457170.57 5434883.15 0.10
 3457170.22 5434883.18 0.17
 3457173.73 5434881.15 7.56
 3457173.44 5434881.16 7.26
 3457173.22 5434882.73 7.06
 3457169.65 5434882.80 11.29
 3457169.21 5434882.80 9.37
 3457170.35 5434882.76 11.03
 3457171.68 5434882.71 13.10
 3457172.15 5434882.69 13.26
 3457171.66 5434882.69 11.21
 3457172.03 5434882.66 11.14
 3457172.35 5434882.64 10.94
 3457171.78 5434882.64 8.68
 3457171.95 5434882.62 8.14
 3457171.67 5434882.62 7.50
 3457172.09 5434882.60 7.52
 3457172.40 5434882.58 7.29
 3457172.82 5434882.55 7.31
 3457169.68 5434882.62 0.05
 3457170.52 5434882.57 0.05
 3457169.23 5434882.12 11.02
 3457170.88 5434882.07 13.80
 3457171.32 5434882.05 13.88
 3457171.53 5434882.01 12.50
 3457171.08 5434882.01 10.53
 3457171.56 5434881.98 10.71
 3457171.93 5434881.96 10.60
 3457172.11 5434881.94 10.10
 3457172.95 5434881.91 11.09
 3457172.06 5434881.91 8.11
 3457172.06 5434881.89 7.15
 3457169.06 5434881.73 11.24
 3457169.31 5434881.71 10.88
 3457171.07 5434881.65 13.91
 3457171.29 5434881.63 13.48
 3457171.77 5434881.61 13.66
 3457171.41 5434881.62 12.83
 3457171.97 5434881.59 13.18
 3457171.76 5434881.58 11.77
 3457172.23 5434881.55 11.92
 3457171.84 5434881.55 10.09
 3457172.31 5434881.52 10.23
 3457171.62 5434881.52 7.71
 3457171.85 5434881.50 7.29
 3457168.02 5434881.23 8.66
 3457168.47 5434881.20 8.73
 3457170.45 5434881.15 12.28
 3457170.78 5434881.12 12.11
 3457170.93 5434881.10 11.54
 3457171.73 5434881.07 12.42
 3457170.55 5434881.08 8.79
 3457171.14 5434881.05 9.20
 3457172.02 5434881.02 10.27
 3457168.74 5434880.62 9.83
 3457169.90 5434880.56 10.59
 3457170.33 5434880.54 10.64
 3457171.40 5434880.50 12.13
 3457170.33 5434880.50 8.76
 3457170.66 5434880.48 8.59
 3457171.02 5434880.46 8.48
 3457168.48 5434880.52 9.81
 3457168.93 5434880.50 9.90
 3457169.76 5434880.47 10.85
 3457169.20 5434880.46 8.66
 3457171.49 5434880.38 12.00
 3457170.39 5434880.39 8.55
 3457170.74 5434880.37 8.41
 3457171.12 5434879.97 9.92
 3457171.35 5434879.94 8.56
 3457173.68 5434881.25 7.48
 3457168.57 5434881.42 8.73
 3457168.78 5434881.46 9.88
 3457169.10 5434881.44 9.91
 3457169.25 5434881.35 8.39
 3457169.52 5434881.36 8.94
 3457170.02 5434881.41 10.41
 3457170.20 5434881.46 11.74
 3457170.37 5434881.37 10.15
 3457171.13 5434881.42 12.13
 3457171.62 5434881.46 13.59
 3457171.74 5434881.39 12.40
 3457171.97 5434881.42 13.25
 3457173.58 5434881.01 7.42
 3457167.99 5434881.05 8.74
 3457168.20 5434881.10 9.91
 3457168.32 5434881.02 8.69
 3457168.64 5434881.00 8.73
 3457168.92 5434881.00 9.13
 3457169.61 5434880.93 8.66
 3457169.91 5434880.92 8.91
 3457170.14 5434880.96 9.86
 3457170.43 5434880.96 10.21
 3457171.17 5434881.02 12.41
 3457171.56 5434880.95 11.66
 3457171.80 5434880.98 12.51
 3457172.42 5434880.79 9.68
 3457167.93 5434880.72 8.50
 3457168.24 5434880.71 8.58
